"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1569","sClRvaIAYTc","<a href=""http://www.youtube.com/results?search_query=%23fechadocombolsonaro"">#fechadocomBolsonaro</a>","#fechadocomBolsonaro","Andre Pujol","https://yt3.ggpht.com/ytc/AKedOLQEuzNA01q3iI4v0eJbP_BPQ62e0_l9Wa9xHg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC43fxkBWzEcO5wYCc-CWkbQ","UC43fxkBWzEcO5wYCc-CWkbQ","TRUE","none","1","2021-07-23T07:37:08Z","2021-07-23T07:37:08Z","UgwiGnPgPahbMjvr8dl4AaABAg",NA,NA
"1570","sClRvaIAYTc","Se o povo é  cego e está numa redoma de vidro sem ver ou sem querer ver . Que os brasileiros estão vivendo pior que refugiados! Eu estou bem acordada e peço pelos incapazes e despejados revirando lixo com suas familias nas sarjetas ao relento. Sem mesmo um auxílio por não posuirem endereço fixo, documentos ou dignidade! Quero os mesmos direitos dos refugiados para meus irmãos brasileiros esquecidos e  jogados para morrerem nas sarjetas como indigentes. O dinheiro que vcs estão investindo nos refugiados é  nosso suor. Quero  que meus irmãos brasileiros sem dignidade quê tenham os mesmos direitos, abrigo, alimentação, emprego e documentação é  direito  de nossos irmãos mesmo que sejam doentes antes de darem aos vizinhos dê dignidade aos brasileiros em extrema miséria e sem dignidade nenhuma! Obrigada.  😠😤😠👉","Se o povo é  cego e está numa redoma de vidro sem ver ou sem querer ver . Que os brasileiros estão vivendo pior que refugiados! Eu estou bem acordada e peço pelos incapazes e despejados revirando lixo com suas familias nas sarjetas ao relento. Sem mesmo um auxílio por não posuirem endereço fixo, documentos ou dignidade! Quero os mesmos direitos dos refugiados para meus irmãos brasileiros esquecidos e  jogados para morrerem nas sarjetas como indigentes. O dinheiro que vcs estão investindo nos refugiados é  nosso suor. Quero  que meus irmãos brasileiros sem dignidade quê tenham os mesmos direitos, abrigo, alimentação, emprego e documentação é  direito  de nossos irmãos mesmo que sejam doentes antes de darem aos vizinhos dê dignidade aos brasileiros em extrema miséria e sem dignidade nenhuma! Obrigada.  😠😤😠👉","Marcia Campos","https://yt3.ggpht.com/ytc/AKedOLTAQ5XHVyl8jjFRm23g3865oDJiu5_sJwQdzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfbrxIp4DBmZO_b58MHn1YA","UCfbrxIp4DBmZO_b58MHn1YA","TRUE","none","1","2021-07-23T07:36:58Z","2021-07-23T07:36:58Z","UgwAXRE034sB3lCQjYV4AaABAg",NA,NA
"1571","sClRvaIAYTc","Cara, só o presidente joga nas linhas da constituição! O outro lado joga fora das linhas da constituição... e agora?  Não tem democracia mas... não tem harmonia entre os poderes,  temos cada vez menos liberdade...","Cara, só o presidente joga nas linhas da constituição! O outro lado joga fora das linhas da constituição... e agora?  Não tem democracia mas... não tem harmonia entre os poderes,  temos cada vez menos liberdade...","Louis Zamperini costa","https://yt3.ggpht.com/ytc/AKedOLSHy5Fen6P-tE6hI9nnWr0AvuBHAygE_DeCGg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzw1jOMcvX2HcUo9TOMvR8w","UCzw1jOMcvX2HcUo9TOMvR8w","TRUE","none","0","2021-07-23T07:34:52Z","2021-07-23T07:34:52Z","UgzflZMy4a7_V67wzIh4AaABAg",NA,NA
"1572","sClRvaIAYTc","Devia ter deixado o Argentino falar para que a jumentada bote na cabeça!","Devia ter deixado o Argentino falar para que a jumentada bote na cabeça!","Marlidobem","https://yt3.ggpht.com/ytc/AKedOLRtbOwa9w-efNETDq5qFzobb9zh7g8OMmAhbA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJRu7zHATpJTmuugZ71k4ng","UCJRu7zHATpJTmuugZ71k4ng","TRUE","none","1","2021-07-23T07:32:45Z","2021-07-23T07:32:45Z","UgxfXEXbYqmfoMwgAy94AaABAg",NA,NA
"1573","sClRvaIAYTc","Alguém pode me falar onde está a tensão da manchete? Sou inscrito no canal, porém está começando a surgir manchetes bombástica que depois não refletem na matéria. Espero que o canal se reajuste porque está começando a parecer com a Folha de São Paulo, O Globo, O Antagonista......Sigo o canal justamente por ele ser diferente da imprensa tradicional mas percebo que existe a necessidade de os editores pararem e observarem com mais cautela o que estão publicando.","Alguém pode me falar onde está a tensão da manchete? Sou inscrito no canal, porém está começando a surgir manchetes bombástica que depois não refletem na matéria. Espero que o canal se reajuste porque está começando a parecer com a Folha de São Paulo, O Globo, O Antagonista......Sigo o canal justamente por ele ser diferente da imprensa tradicional mas percebo que existe a necessidade de os editores pararem e observarem com mais cautela o que estão publicando.","Marcelo Da Silva Vieira","https://yt3.ggpht.com/ytc/AKedOLTgmr-uMGxmRZjZCRL-IuPBoUag1FLY3KJBsA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJo8-rX1P6z0hqZsI1zYPKg","UCJo8-rX1P6z0hqZsI1zYPKg","TRUE","none","1","2021-07-23T07:29:38Z","2021-07-23T07:32:32Z","Ugw2WUyyzQpBnWOxPkB4AaABAg",NA,NA
"1574","sClRvaIAYTc","🇧🇷🇧🇷🇧🇷👏🏼👏🏼👏🏼👏🏼","🇧🇷🇧🇷🇧🇷👏🏼👏🏼👏🏼👏🏼","Ieda Shizuko","https://yt3.ggpht.com/ytc/AKedOLSAuVt8F28txf7ga64u9RKu6Wh6He7A6GY-67rc9s8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCeZhBSrqeOpqjIcqZnPsZYA","UCeZhBSrqeOpqjIcqZnPsZYA","TRUE","none","1","2021-07-23T07:27:58Z","2021-07-23T07:27:58Z","Ugy5GTrJVhqxGROicHR4AaABAg",NA,NA
"1575","sClRvaIAYTc","<a href=""http://www.youtube.com/results?search_query=%23fechadocombolsonaro"">#fechadocombolsonaro</a> 😎 🇧🇷🇧🇷🇧🇷 👊🏼👊🏼💥💥","#fechadocombolsonaro 😎 🇧🇷🇧🇷🇧🇷 👊🏼👊🏼💥💥","Rafael AGD","https://yt3.ggpht.com/ytc/AKedOLTHL_Xyn9EdpxadXbFfnvi0_BzqVdVW1ncOZE23iUQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCOiNwln3LqkmoZJTrJIZWkw","UCOiNwln3LqkmoZJTrJIZWkw","TRUE","none","1","2021-07-23T07:25:35Z","2021-07-23T07:25:35Z","UgzmrHGr0a47TANRXtl4AaABAg",NA,NA
"1576","sClRvaIAYTc","O senhor dorme tranquilo presidente?! Qdo lembra que os  brasileiros quem está pagando para vizinhos dormirem, comerem , se empregarem e repatriarem as nossas custas! Tendo milhões de famílias brasileiras doentes, comendo sobra de lixo ao relento?! Nem tem direito de auxílio por não terem endereço fixo e documentos? Politicagem parece que é  bem vinda na esquerda e na direita também! Estamos SÓ vendo! 👀👀👀👀👀","O senhor dorme tranquilo presidente?! Qdo lembra que os  brasileiros quem está pagando para vizinhos dormirem, comerem , se empregarem e repatriarem as nossas custas! Tendo milhões de famílias brasileiras doentes, comendo sobra de lixo ao relento?! Nem tem direito de auxílio por não terem endereço fixo e documentos? Politicagem parece que é  bem vinda na esquerda e na direita também! Estamos SÓ vendo! 👀👀👀👀👀","Marcia Campos","https://yt3.ggpht.com/ytc/AKedOLTAQ5XHVyl8jjFRm23g3865oDJiu5_sJwQdzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfbrxIp4DBmZO_b58MHn1YA","UCfbrxIp4DBmZO_b58MHn1YA","TRUE","none","1","2021-07-23T07:24:48Z","2021-07-23T07:24:48Z","Ugw3Vh8rAE4rbi2g1Ll4AaABAg",NA,NA
"1577","sClRvaIAYTc","Acho que o barroso foi fazer chantagens ou comprar os corruptos.","Acho que o barroso foi fazer chantagens ou comprar os corruptos.","Marileide Nicacio","https://yt3.ggpht.com/ytc/AKedOLQPFBxtHUJ_BcJgVvl5dE1pj5AWQnJuPlySrw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC1QoeZ8zcOdma7l_jfpnYHg","UC1QoeZ8zcOdma7l_jfpnYHg","TRUE","none","1","2021-07-23T07:19:16Z","2021-07-23T07:19:16Z","UgwhlOYqmkXrCBCflK14AaABAg",NA,NA
"1578","sClRvaIAYTc","Repatriar 250 mil refugiados. Seria patriótico se fossem para nossas milhões de famílias brasileiras despejadas revirando lixo sem documentos e sem auxílio.Afinal nós  que estamos pagando a vidadania desses vizinhos, qdo temos milhões de irmãos morrendo nas sarjetas que nem rato tem pra comer.","Repatriar 250 mil refugiados. Seria patriótico se fossem para nossas milhões de famílias brasileiras despejadas revirando lixo sem documentos e sem auxílio.Afinal nós  que estamos pagando a vidadania desses vizinhos, qdo temos milhões de irmãos morrendo nas sarjetas que nem rato tem pra comer.","Marcia Campos","https://yt3.ggpht.com/ytc/AKedOLTAQ5XHVyl8jjFRm23g3865oDJiu5_sJwQdzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfbrxIp4DBmZO_b58MHn1YA","UCfbrxIp4DBmZO_b58MHn1YA","TRUE","none","1","2021-07-23T07:18:50Z","2021-07-23T07:18:50Z","UgwZEoGUC9ctOOxerVV4AaABAg",NA,NA
